タイムスタンプ,科目種別,実施キャンパス,曜日,時限,講義名,担当教員名,評価基準,テスト持ち込み,授業の良かったところは？,授業の悪かったところは？,授業のおすすめ度を教えてください,その他情報があれば教えてください,実施キャンパス 2,曜日 2,時限 2,授業名,担当教員名 2,評価基準 2,テスト持ち込み 2,授業の良かったところは？ 2,授業の悪かったところは？ 2,その他情報があれば教えてください 2,あなたの学部・学科は？,実施キャンパス 3,曜日 3,時限 3,講義名 2,担当教員名 3,評価基準 3,テスト持ち込み 3,授業の良かったところは？ 3,授業の悪かったところは？ 3,その他情報があれば教えてください 3,授業担当学部は？,実施キャンパス 4,曜日 4,時限 4,講義名 3,担当教員名 4,評価基準 4,テスト持ち込み 4,授業の良かったところは？ 4,授業の悪かったところは？ 4,その他情報があれば教えてください 4,実施キャンパス 5,曜日 5,時限 5,講義名 4,担当教員名 5,評価基準 5,テスト持ち込み 5,授業の良かったところは？ 5,授業の悪かったところは？ 5,その他情報があれば教えてください 5,講義・実習等の実施形態,テストの実施形態
2/18/2026 13:18:59,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部電気電子システム工学科,中百舌鳥キャンパス,月曜日,１限目,確率統計,綿森葉子,"期末テスト, 中間レポート, 毎回の課題","自筆ノート, 教科書",出席点がない。毎回簡単な小テストを受ければよい。,期末試験が難しい。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 16:39:39,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部電子物理工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,谷口暢一,"出席点あり, 期末テスト, 中間テスト, 中間レポート",持ち込みなし,"出席点やレポートがある。
また数回に1度板書式の問題解答者が募られて、加点がある。",声が小さい、前によく分からない小話がある,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 22:41:13,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,田村　正純,"期末テスト, 中間テスト, 毎回の課題",持ち込みなし,,・内容が難しい、覚えることが多い,"・中間テストは過去問とほぼ同じだった
・期末テストでは中間テストの問題からも似たものが出ていたので、中間テストの復習もしておくべき",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/4/2026 23:15:12,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,谷口暢一,"出席点あり, 期末テスト, 中間テスト, 2,3回の課題",持ち込みなし,課題は実質教科書の解答を写すだけでよい、授業中に黒板に課題の解答を書きに行くと2点もらえる,過去問がないとテストが辛い,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
2/26/2026 11:07:53,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,田村正純,"出席点あり, 期末テスト, 中間テスト, 毎回の課題",持ち込みなし,,,毎回授業終わりにその日の復習的な問題プリントが出され、それを提出してから帰るのだがかなり難しい。中間テストは過去問そのままなので頑張ったらとれるが、期末は過去問が無いのでめちゃくちゃ頑張るしかない。すごく難しい。,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/1/2026 0:34:28,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,谷口暢一,"期末テスト, 中間テスト, 中間レポート",持ち込みなし,期末後、単位取得出来なさそうな点数だった生徒には救済措置でレポート課題を出してくれる。,板書の文字が小さすぎる。カメラのズームなどで見るしかないが写真を撮ってはいけないので誤解されたりもする。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/15/2026 19:28:06,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学バイオ工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,田村 正純,"期末テスト, 中間テスト, 毎回の課題",持ち込みなし,"意外と単位落としてる人は少ない
授業資料はわかりやすい","毎回の課題が難しい
中間試験、期末試験はちゃんと勉強しないと歯が立たない
一夜漬けでは無理なので、早めに試験対策を始めよう！","成績評価：
毎回の課題(20%)、中間試験(30%)、期末試験(50%)",,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
3/30/2026 12:17:32,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,工学部化学工学科,森之宮キャンパス,月曜日,１限目,基礎有機化学,谷口暢一,"期末テスト, 中間テスト, 中間レポート",持ち込みなし,丁寧な説明でわかりやすい。課題の答え（教科書に載っている）を前の黒板に書き写すと点がもらえる。,テストがそこそこ難しい。板書の字が小さくて読みにくいが、写真撮影が禁止されているので前の方の席に座っておかないとしんどい。,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
2/16/2026 21:58:42,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,現シス知情,森之宮キャンパス,月曜日,２限目,統計学基礎,福井充　だったと思う,"期末テスト, 中間レポート, 毎回の課題","レジュメ, 自筆ノート, 教科書, 関数電卓","出席点がおそらくない、ただし確実とは言えない。
毎回検定の課題が出るが、この分野におけるchatGPTの正答率が高く、工夫すれば全部AIの回答で課題を終わらせられる。
授業を一切聞かなくてもなんとかなる
授業スライドや課題の解答、教科書を持ち込めるので、やり方を全く覚えてなくても、持ち込み教材と同じ形の問題を見つけてその通りにやれば期末テスト満点も全然狙える
関数電卓が不要。ダイソーのやっすい100円の電卓で余裕で攻略可能。なんなら忘れても一応なんとかなる
年末年始やテスト後など、みんなが行きたくなくなる時期の授業は、出席不要にしてオンデマンド配信を行うなどの配慮があった。
小テストは制限時間がないため調べ放題。","毎回の課題が結構めんどくさい。地味にpdfしか認めない形式なので、パソコン作成にしろ、印刷して手書きにしろめんどい。
出席があるのかないのかよくわからない。
授業でプロジェクターか何かを使って前に謎の手元を映し出すが、何の参考にもならない。あれをちゃんと聞いてる人はいるのだろうか。",,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
2/5/2026 13:53:09,基礎教育科目,,,,,,,,,,,,,,,,,,,,,,現代システム科学域教育福祉学類,中百舌鳥キャンパス,月曜日,２限目,統計学基礎2,今野良彦,"期末テスト, 中間レポート, 毎回の課題","レジュメ, 自筆ノート, 教科書, 関数電卓",・行かなくていい,"・面白くない
・授業に行っても理解できないので、行くだけ時間の無駄","・テストは教科書、今までの課題を印刷したもの、電卓の持ち込みが可能。内容を理解していなくても全部書き込んでいけば解ける。電卓の使い方だけ覚えておこう
・ほとんど出席していなかった
・中間レポートは出席番号の下1桁を使って解く問題なので、同じ番号の人を見つけておくと協力できる",,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",対面
